_id,permit_number,s_name,s_address,city,z_code,p_fee,pa_license_no,contractor_name,permit_specifications,square_feet,is_the_building_occupied,i_date,e_date,achd_inspector,job_complete,is_permit_date_extended,permit_o_e_date,project_type,status,latitude,longitude
1751919,DEM190077,RESIDENCE,516  ROMINE AVE,MCKEESPORT,15132,0,941,"PRISM RESPONSE, LLC DBA ALLOY",DEMOLISH THE STRUCTURE AND GRADE THE LOT,1000,f,2019-03-25,2019-05-06,MARC ITKIN,t,f,2019-05-06,DEM,COMPLETE,40.3498885196477,-79.8722377193532
1751920,DEM190078,RESIDENCE,718  REYNOLDS ST,MCKEESPORT,15132,0,941,"PRISM RESPONSE, LLC DBA ALLOY",DEMOLISH THE STRUCTURE AND GRADE THE LOT,1000,f,2019-03-25,2019-05-06,MARC ITKIN,t,f,2019-05-06,DEM,COMPLETE,40.3456385026226,-79.8789706343417
1751921,DEM190085,RESIDENCE,226  REBECCA ST,MCKEESPORT,15132,0,941,"PRISM RESPONSE, LLC DBA ALLOY",DEMOLISH THE STRUCTURE AND GRADE THE LOT,1000,f,2019-04-01,2019-05-10,MARC ITKIN,t,f,2019-05-10,DEM,COMPLETE,40.3525480310838,-79.8739145294898
1751922,PAA170533,7053 MONTICELLO STREET,,PITTSBURGH,15219,850,920,GENERAL CONTRACTING CORP. OF AMERICA,DEMOLISH THE STRUCTURE AND GRADE THE LOT,1200,f,2017-10-04,2017-11-15,JOE YAKUBISIN,t,f,2017-11-15,PAA,COMPLETE,40.4430363971525,-80.0248548874816
1751923,PAA170627,102 CRAWFORD RUN ROAD; CREIGHTON ; PA 15030,100  CRAWFORD RUN RD,,15030,850,920,GENERAL CONTRACTING CORP. OF AMERICA,DEMOLISH THE STRUCTURE AND GRADE THE LOT,2100,f,2017-11-22,2017-12-18,SHANNON SANDBERG,t,f,2017-12-18,PAA,COMPLETE,40.5846805181744,-79.7853459086525
1751924,DEM210149,RESIDENTIAL,102 N 2ND ST,DUQUESNE,15110,0,911,"MASA, LLC DBA CANFIELD DEVELOPMENT",DEMOLITION OF FACILITY USING HEAVY EQUIPMENT; WETTING MATERIALS AS NEEDED,,f,2021-09-27,2021-11-30,ELIZABETH LETURGEY,t,f,2021-11-30,DEM,COMPLETE,40.3752031045463,-79.848452696563
1751925,DEM210150,RESIDENTIAL,321 S 2ND ST,DUQUESNE,15110,0,911,"MASA, LLC DBA CANFIELD DEVELOPMENT",DEMOLITION OF FACILITY USING HEAVY EQUIPMENT; WETTING MATERIALS AS NEEDED,,f,2021-10-05,2021-10-15,ELIZABETH LETURGEY,t,f,2021-10-15,DEM,COMPLETE,40.3693513265588,-79.8451831760901
1751926,PAA170657,409 FANNELL ST - PITTSBURGH; PA 15224,,PITTSBURGH,15224,850,926,"KANE SPECIALTY GROUP, LLC",DEMOLITION ORDERED BY THE CITY OF PITTSBURGH - ALL MATERIAL TREATED AS ACM,,f,2017-11-28,2017-12-21,JOE YAKUBISIN,t,f,2017-12-21,PAA,COMPLETE,40.4612562017017,-79.960276187112
1751927,PAA160582,TWO PNC PLAZA,620  LIBERTY AVE,PITTSBURGH,15222,650,928,NORTHSTAR CONTRACTING GROUP INC,MASTIC ON FLOORS 3;4;5;6;7;8;26 AND 29,8000,t,2017-01-09,2017-12-31,DON HORGAN,t,f,2017-12-31,PAA,COMPLETE,40.4418188313799,-80.0008354490418
1751928,PAA140422,SOUTHLAND SHOPPING CENTER - UNIT 47,645 CLAIRTON BLVD,PITTSBURGH,15236,650,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",MASTIC THROUGHOUT BUILDING,3000,f,2014-10-27,2014-11-30,JOE YAKUBISIN,t,f,2014-11-30,PAA,COMPLETE,40.3306681811055,-79.9441724497452
1751929,PAA150155,WENDY'S,345 5TH AVE,PITTSBURGH,15222,650,901,"ABMECH ACQUISITIONS, LLC",MIRROR MASTIC ON 1ST AND 2ND FLOORS;WINDOW CAULKING ON 3RD FLOOR;ELEVATOR DOORS IN BASEMENT THRU 2ND FLOORS AND CAPSTONE MASTIC ON ROOF,4725,f,2015-04-01,2015-12-31,JOE YAKUBISIN,t,f,2015-12-31,PAA,COMPLETE,40.4402296734097,-79.998987954627
